Data,Valor,Tipo,CentroCusto,Detalhe,Banco
2024-05-02,0.0,Saída,Pagamentos,Tarifa,PagBank
2024-05-02,560.0,Entrada,Clinica,Pix,
2024-05-02,372.0,Entrada,Laboratorio,Dinheiro,
2024-05-02,0.0,Saída,Pagamentos, ,Santander
2024-05-02,0.0,Entrada,Laboratorio,Débito,
2024-05-02,712.13,Saída,Pix,,
2024-05-02,0.0,Saída,Pagamentos,Tarifa,Mercado Pago
2024-05-02,0.0,Entrada,Laboratorio,Crédito,
2024-05-02,0.0,Saída,Pagamentos,Financiamento,BNB
2024-05-02,76.22999999999999,Saída,Pagamentos,Tarifa,Santander
2024-05-02,40.0,Entrada,Laboratorio,Pix,
2024-05-02,0.0,Entrada,Clinica,Crédito,
2024-05-02,26162.3,Entrada,Conta,Convenios,IPES
2024-05-02,20009.61,Saída,Pagamentos, ,C6
2024-05-02,0.0,Entrada,Conta,Convenios,SESI
2024-05-02,0.0,Entrada,Conta,Convenios,SUS
2024-05-02,0.0,Entrada,Clinica,Débito,
2024-05-02,1068.0,Saída,Dinheiro,,
2024-05-03,0.0,Saída,Pagamentos,Tarifa,PagBank
2024-05-03,0.0,Saída,Pagamentos,Tarifa,Mercado Pago
2024-05-03,0.0,Entrada,Laboratorio,Débito,
2024-05-03,2.6499999999999915,Saída,Pagamentos,Tarifa,Santander
2024-05-03,184.0,Saída,Pix,,
2024-05-03,485.0,Entrada,Laboratorio,Dinheiro,
2024-05-03,0.0,Saída,Pagamentos, ,Santander
2024-05-03,0.0,Entrada,Conta,Convenios,SUS
2024-05-03,0.0,Entrada,Clinica,Débito,
2024-05-03,270.0,Entrada,Clinica,Pix,
2024-05-03,0.0,Entrada,Conta,Convenios,SESI
2024-05-03,0.0,Saída,Pagamentos,Financiamento,BNB
2024-05-03,0.0,Entrada,Clinica,Crédito,
2024-05-03,361.8,Saída,Pagamentos, ,C6
2024-05-03,75.6,Entrada,Laboratorio,Crédito,
2024-05-03,909.5,Saída,Dinheiro,,
2024-05-03,0.0,Entrada,Conta,Convenios,IPES
2024-05-03,321.0,Entrada,Laboratorio,Pix,
2024-05-06,0.0,Entrada,Conta,Convenios,IPES
2024-05-06,3.6899999999999977,Saída,Pagamentos,Tarifa,Santander
2024-05-06,101.5,Entrada,Laboratorio,Crédito,
2024-05-06,254.0,Entrada,Laboratorio,Pix,
2024-05-06,0.0,Entrada,Conta,Convenios,SESI
2024-05-06,0.0,Entrada,Conta,Convenios,SUS
2024-05-06,0.0,Entrada,Laboratorio,Débito,
2024-05-06,0.0,Entrada,Clinica,Pix,
2024-05-06,0.0,Saída,Pix,,
2024-05-06,0.0,Saída,Pagamentos,Financiamento,BNB
2024-05-06,0.0,Entrada,Clinica,Crédito,
2024-05-06,0.0,Saída,Pagamentos, ,C6
2024-05-06,845.0,Entrada,Laboratorio,Dinheiro,
2024-05-06,0.0,Saída,Pagamentos,Tarifa,Mercado Pago
2024-05-06,0.0,Saída,Pagamentos,Tarifa,PagBank
2024-05-06,0.0,Entrada,Clinica,Débito,
2024-05-06,0.0,Saída,Pagamentos, ,Santander
2024-05-06,707.8299999999999,Saída,Dinheiro,,
2024-05-07,10666.1,Saída,Pagamentos, ,Santander
2024-05-07,0.0,Entrada,Conta,Convenios,SESI
2024-05-07,26.05000000000004,Saída,Pagamentos,Tarifa,Santander
2024-05-07,0.0,Entrada,Laboratorio,Débito,
2024-05-07,0.0,Saída,Pagamentos,Tarifa,Mercado Pago
2024-05-07,0.0,Entrada,Conta,Convenios,IPES
2024-05-07,0.0,Saída,Pagamentos,Financiamento,BNB
2024-05-07,165.0,Entrada,Laboratorio,Pix,
2024-05-07,843.0,Entrada,Laboratorio,Dinheiro,
2024-05-07,100.0,Entrada,Clinica,Débito,
2024-05-07,1001.0,Entrada,Clinica,Pix,
2024-05-07,2833.8,Saída,Dinheiro,,
2024-05-07,0.0,Saída,Pagamentos,Tarifa,PagBank
2024-05-07,0.0,Saída,Pagamentos, ,C6
2024-05-07,574.0,Entrada,Clinica,Crédito,
2024-05-07,0.0,Entrada,Laboratorio,Crédito,
2024-05-07,0.0,Saída,Pix,,
2024-05-07,0.0,Entrada,Conta,Convenios,SUS
2024-05-08,0.0,Saída,Pagamentos,Tarifa,PagBank
2024-05-08,0.0,Saída,Pagamentos,Tarifa,Mercado Pago
2024-05-08,50.42000000000007,Saída,Pagamentos,Tarifa,Santander
2024-05-08,0.0,Entrada,Laboratorio,Débito,
2024-05-08,164.25,Entrada,Laboratorio,Pix,
2024-05-08,0.0,Entrada,Conta,Convenios,IPES
2024-05-08,0.0,Entrada,Conta,Convenios,SESI
2024-05-08,3822.0,Saída,Dinheiro,,
2024-05-08,574.98,Entrada,Laboratorio,Crédito,
2024-05-08,0.0,Entrada,Conta,Convenios,SUS
2024-05-08,0.0,Saída,Pagamentos, ,C6
2024-05-08,1534.0,Entrada,Laboratorio,Dinheiro,
2024-05-08,0.0,Saída,Pix,,
2024-05-08,0.0,Saída,Pagamentos,Financiamento,BNB
2024-05-08,1500.0,Entrada,Clinica,Pix,
2024-05-08,647.96,Saída,Pagamentos, ,Santander
2024-05-08,290.0,Entrada,Clinica,Crédito,
2024-05-08,0.0,Entrada,Clinica,Débito,
2024-05-09,0.0,Saída,Pagamentos, ,Santander
2024-05-09,448.0,Entrada,Clinica,Pix,
2024-05-09,0.0,Saída,Pagamentos,Tarifa,Santander
2024-05-09,4.0,Saída,Pix,,
2024-05-09,0.0,Entrada,Laboratorio,Crédito,
2024-05-09,0.0,Entrada,Laboratorio,Débito,
2024-05-09,2684.3,Entrada,Conta,Convenios,SESI
2024-05-09,0.0,Saída,Pagamentos,Financiamento,BNB
2024-05-09,2384.55,Saída,Dinheiro,,
2024-05-09,0.0,Entrada,Conta,Convenios,SUS
2024-05-09,0.0,Entrada,Conta,Convenios,IPES
2024-05-09,0.0,Saída,Pagamentos,Tarifa,PagBank
2024-05-09,0.0,Entrada,Clinica,Crédito,
2024-05-09,0.0,Entrada,Clinica,Débito,
2024-05-09,0.0,Saída,Pagamentos,Tarifa,Mercado Pago
2024-05-09,318.0,Entrada,Laboratorio,Pix,
2024-05-09,0.0,Saída,Pagamentos, ,C6
2024-05-09,429.0,Entrada,Laboratorio,Dinheiro,
2024-05-10,20.910000000000025,Saída,Pagamentos,Tarifa,Santander
2024-05-10,75.98,Entrada,Laboratorio,Pix,
2024-05-10,0.0,Entrada,Conta,Convenios,IPES
2024-05-10,0.0,Saída,Pagamentos,Financiamento,BNB
2024-05-10,193.0,Entrada,Laboratorio,Crédito,
2024-05-10,0.0,Saída,Pix,,
2024-05-10,390.0,Entrada,Clinica,Crédito,
2024-05-10,1623.0,Saída,Dinheiro,,
2024-05-10,0.0,Saída,Pagamentos, ,C6
2024-05-10,0.0,Entrada,Conta,Convenios,SESI
2024-05-10,209.08,Saída,Pagamentos, ,Santander
2024-05-10,0.0,Saída,Pagamentos,Tarifa,Mercado Pago
2024-05-10,30.0,Entrada,Clinica,Pix,
2024-05-10,0.0,Saída,Pagamentos,Tarifa,PagBank
2024-05-10,0.0,Entrada,Conta,Convenios,SUS
2024-05-10,0.0,Entrada,Clinica,Débito,
2024-05-10,193.0,Entrada,Laboratorio,Dinheiro,
2024-05-10,0.0,Entrada,Laboratorio,Débito,
2024-05-11,0.0,Entrada,Laboratorio,Dinheiro,
2024-05-11,0.0,Saída,Pagamentos,Tarifa,PagBank
2024-05-11,0.0,Saída,Pagamentos,Tarifa,Santander
2024-05-11,0.0,Entrada,Clinica,Pix,
2024-05-11,0.0,Entrada,Laboratorio,Pix,
2024-05-11,0.0,Entrada,Conta,Convenios,SESI
2024-05-11,0.0,Entrada,Conta,Convenios,IPES
2024-05-11,130.0,Entrada,Clinica,Crédito,
2024-05-11,0.0,Saída,Pagamentos, ,C6
