data,valor,centro_custo,forma_pagamento
2024-06-03,271.33,Rateio,Dinheiro
2024-06-04,183.33,Rateio,Dinheiro
2024-06-05,789.96,Rateio,Dinheiro
2024-06-06,10.27,Rateio,Dinheiro
2024-06-07,-16.34,Rateio,Dinheiro
2024-06-08,-45.84,Rateio,Dinheiro
2024-06-10,-30.84,Rateio,Dinheiro
2024-06-11,12.32,Rateio,Dinheiro
2024-06-12,28.42,Rateio,Dinheiro
2024-06-13,20.36,Rateio,Dinheiro
2024-06-14,23.36,Rateio,Dinheiro
2024-06-15,240.34,Rateio,Dinheiro
2024-06-17,20.34,Rateio,Dinheiro
2024-06-18,142.34,Rateio,Dinheiro
2024-06-19,83.12,Rateio,Dinheiro
2024-06-20,170.56,Rateio,Dinheiro
2024-06-21,82.27,Rateio,Dinheiro
2024-06-22,9.27,Rateio,Dinheiro
2024-06-24,9.27,Rateio,Dinheiro
2024-06-25,9.27,Rateio,Dinheiro
2024-06-26,53.11,Rateio,Dinheiro
2024-06-27,19.55,Rateio,Dinheiro
2024-06-28,115.85,Rateio,Dinheiro
2024-06-29,68.85,Rateio,Dinheiro
2024-07-01,41.85,Rateio,Dinheiro
2024-07-02,77.85,Rateio,Dinheiro
2024-07-03,50.52,Rateio,Dinheiro
2024-07-04,117.52,Rateio,Dinheiro
2024-07-05,247.59,Rateio,Dinheiro
2024-07-06,112.59,Rateio,Dinheiro
2024-07-09,278.59,Rateio,Dinheiro
2024-07-10,511.89,Rateio,Dinheiro
2024-07-11,339.44,Rateio,Dinheiro
2024-07-12,269.44,Rateio,Dinheiro
2024-07-13,41.44,Rateio,Dinheiro
2024-07-15,51.44,Rateio,Dinheiro
2024-07-16,49.04,Rateio,Dinheiro
2024-07-17,26.92,Rateio,Dinheiro
2024-07-18,62.92,Rateio,Dinheiro
2024-07-19,224.31,Rateio,Dinheiro
2024-07-20,413.31,Rateio,Dinheiro
2024-07-22,23.31,Rateio,Dinheiro
2024-07-23,143.31,Rateio,Dinheiro
2024-07-24,743.31,Rateio,Dinheiro
2024-07-25,256.31,Rateio,Dinheiro
2024-07-26,354.0,Rateio,Dinheiro
2024-07-27,214.0,Rateio,Dinheiro
2024-07-29,14.0,Rateio,Dinheiro
2024-07-30,339.0,Rateio,Dinheiro
2024-07-31,44.5,Rateio,Dinheiro
2024-08-01,53.4,Rateio,Dinheiro
2024-08-02,136.4,Rateio,Dinheiro
2024-08-03,88.4,Rateio,Dinheiro
2024-08-05,11.4,Rateio,Dinheiro
2024-08-06,120.4,Rateio,Dinheiro
2024-08-07,128.4,Rateio,Dinheiro
2024-08-08,32.4,Rateio,Dinheiro
2024-08-09,55.4,Rateio,Dinheiro
2024-08-10,331.4,Rateio,Dinheiro
2024-08-12,75.4,Rateio,Dinheiro
2024-08-13,30.4,Rateio,Dinheiro
2024-08-14,129.9,Rateio,Dinheiro
2024-08-15,101.9,Rateio,Dinheiro
2024-08-16,74.63,Rateio,Dinheiro
2024-08-17,64.45,Rateio,Dinheiro
2024-08-19,139.45,Rateio,Dinheiro
2024-08-20,169.45,Rateio,Dinheiro
2024-08-21,40.45,Rateio,Dinheiro
2024-08-22,62.45,Rateio,Dinheiro
2024-08-23,-3.41,Rateio,Dinheiro
2024-08-24,19.59,Rateio,Dinheiro
2024-08-26,19.59,Rateio,Dinheiro
2024-08-27,-6.65,Rateio,Dinheiro
2024-08-28,207.35,Rateio,Dinheiro
2024-08-29,-3.65,Rateio,Dinheiro
2024-08-30,360.35,Rateio,Dinheiro
2024-08-31,55.35,Rateio,Dinheiro
2024-09-02,5.35,Rateio,Dinheiro
2024-09-03,112.35,Rateio,Dinheiro
2024-09-04,48.35,Rateio,Dinheiro
2024-09-05,63.35,Rateio,Dinheiro
2024-09-06,-60.65,Rateio,Dinheiro
2024-09-09,60.35,Rateio,Dinheiro
2024-09-10,198.35,Rateio,Dinheiro
2024-09-11,114.53,Rateio,Dinheiro
2024-09-12,99.53,Rateio,Dinheiro
2024-09-13,95.5,Rateio,Dinheiro
2024-09-14,93.5,Rateio,Dinheiro
2024-09-16,51.5,Rateio,Dinheiro
2024-09-17,100.0,Rateio,Dinheiro
2024-09-18,-2.5,Rateio,Dinheiro
2024-09-19,29.5,Rateio,Dinheiro
2024-09-20,162.5,Rateio,Dinheiro
2024-09-21,154.5,Rateio,Dinheiro
2024-09-23,154.5,Rateio,Dinheiro
2024-09-24,27.5,Rateio,Dinheiro
2024-09-25,494.5,Rateio,Dinheiro
2024-09-26,106.5,Rateio,Dinheiro
2024-09-27,14.5,Rateio,Dinheiro
2024-09-28,235.5,Rateio,Dinheiro
2024-09-30,165.5,Rateio,Dinheiro
2024-10-01,127.1,Rateio,Dinheiro
2024-10-02,252.1,Rateio,Dinheiro
2024-10-03,618.1,Rateio,Dinheiro
2024-10-04,154.59,Rateio,Dinheiro
2024-10-05,-8.41,Rateio,Dinheiro
2024-10-07,212.59,Rateio,Dinheiro
2024-10-08,113.59,Rateio,Dinheiro
2024-10-09,477.59,Rateio,Dinheiro
2024-10-10,257.59,Rateio,Dinheiro
2024-10-11,979.55,Rateio,Dinheiro
2024-10-14,297.55,Rateio,Dinheiro
