Cartão;Modalidade de pagamento;Plano de recebimento;Taxa de serviço;Taxa de desconto;
Visa;Débito à vista;Recebe em 01 dia;0.00%;1.10%;
Visa;Crediário 36x;Recebe em 2 dias;0.00%;3.45%;
Visa;Crediário;Recebe em 2 dias;0.00%;3.45%;
Visa;Crédito à vista;Recebe em 31 dias;0.00%;2.09%;
Visa;Parcelado 2x;Conforme parcelas, sendo a primeira parcela em 31 dias;0.00%;1.98%;
Visa;Parcelado 3x;Conforme parcelas, sendo a primeira parcela em 31 dias;0.00%;1.98%;
Visa;Parcelado 4x;Conforme parcelas, sendo a primeira parcela em 31 dias;0.00%;1.98%;
Visa;Parcelado 5x;Conforme parcelas, sendo a primeira parcela em 31 dias;0.00%;1.98%;
Visa;Parcelado 6x;Conforme parcelas, sendo a primeira parcela em 31 dias;0.00%;1.98%;
Visa;Parcelado 7x;Conforme parcelas, sendo a primeira parcela em 31 dias;0.00%;2.20%;
Visa;Parcelado 8x;Conforme parcelas, sendo a primeira parcela em 31 dias;0.00%;2.20%;
Visa;Parcelado 9x;Conforme parcelas, sendo a primeira parcela em 31 dias;0.00%;2.20%;
Visa;Parcelado 10x;Conforme parcelas, sendo a primeira parcela em 31 dias;0.00%;2.20%;
Visa;Parcelado 11x;Conforme parcelas, sendo a primeira parcela em 31 dias;0.00%;2.20%;
Visa;Parcelado 12x;Conforme parcelas, sendo a primeira parcela em 31 dias;0.00%;2.20%;
Visa;Crédito parcelado emissor;Conforme parcelas, sendo a primeira parcela em 31 dias;0.00%;2.09%;
Mastercard;;;;;
Mastercard;Débito à vista;Recebe em 01 dia;0.00%;1.12%;
Mastercard;Crediário 36x;Recebe em 2 dias;0.00%;3.45%;
Mastercard;Crediário;Recebe em 2 dias;0.00%;3.45%;
Mastercard;Crédito à vista;Recebe em 31 dias;0.00%;1.85%;
Mastercard;Parcelado 2x;Conforme parcelas, sendo a primeira parcela em 31 dias;0.00%;2.04%;
Mastercard;Parcelado 3x;Conforme parcelas, sendo a primeira parcela em 31 dias;0.00%;2.04%;
Mastercard;Parcelado 4x;Conforme parcelas, sendo a primeira parcela em 31 dias;0.00%;2.04%;
Mastercard;Parcelado 5x;Conforme parcelas, sendo a primeira parcela em 31 dias;0.00%;2.04%;
Mastercard;Parcelado 6x;Conforme parcelas, sendo a primeira parcela em 31 dias;0.00%;2.04%;
Mastercard;Parcelado 7x;Conforme parcelas, sendo a primeira parcela em 31 dias;0.00%;2.20%;
Mastercard;Parcelado 8x;Conforme parcelas, sendo a primeira parcela em 31 dias;0.00%;2.20%;
Mastercard;Parcelado 9x;Conforme parcelas, sendo a primeira parcela em 31 dias;0.00%;2.20%;
Mastercard;Parcelado 10x;Conforme parcelas, sendo a primeira parcela em 31 dias;0.00%;2.20%;
Mastercard;Parcelado 11x;Conforme parcelas, sendo a primeira parcela em 31 dias;0.00%;2.20%;
Mastercard;Parcelado 12x;Conforme parcelas, sendo a primeira parcela em 31 dias;0.00%;2.20%;
